name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Malaysia,2025-03-03,92.8,76.6,83.7,106.8,76.6,90.1,75.5,77.9,1.448,100,4.17,rain,0,0,19.7,10.7,281.1,1008.1,40.2,5.9,254.7,22.1,9,60,2025-03-03T07:23:20,2025-03-03T19:27:05,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-04,92.5,78.6,84.8,102.8,78.6,92.9,76.1,76.4,0,0,0,rain,0,0,10.5,7.7,265.6,1008.1,40.5,6.2,235.3,20.5,8,60,2025-03-04T07:23:02,2025-03-04T19:26:57,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-05,91.2,80.2,84.3,105.2,86.2,93.9,77.1,79.8,0.063,100,4.17,rain,0,0,17.2,13.1,309.3,1007.9,41.8,6,216.8,18.9,8,60,2025-03-05T07:22:44,2025-03-05T19:26:49,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-06,85.7,78.4,81.2,96.6,78.4,86.9,76.5,86.1,0.355,100,12.5,rain,0,0,14.3,5.4,234.9,1009.8,42.8,5.9,161.1,13.8,7,30,2025-03-06T07:22:25,2025-03-06T19:26:40,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-07,91.4,77,84.2,104.5,77,91,75.7,77.1,0,0,0,rain,0,0,15,8.5,287.5,1008.3,40.4,6.1,248.8,21.6,10,60,2025-03-07T07:22:06,2025-03-07T19:26:31,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-08,93.3,79.6,84.5,107.5,79.6,92.6,76,77.2,0,0,0,rain,0,0,13,10.5,259.7,1008.1,41.6,6.2,224.2,19.4,9,75,2025-03-08T07:21:46,2025-03-08T19:26:21,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-09,93,79.8,83.5,102.7,79.8,90.3,75.4,78,0.104,100,4.17,rain,0,0,16.1,7.6,78.1,1009.4,40,6.1,185.9,16,8,60,2025-03-09T07:21:26,2025-03-09T19:26:11,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-10,94,79,83.6,106.9,79,89.3,76.2,79.8,0.028,100,4.17,rain,0,0,17.4,7.3,234.4,1009.8,41.9,6,227.4,19.6,8,60,2025-03-10T07:21:05,2025-03-10T19:26:01,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-11,93,78.8,82.7,105,78.8,87.5,75.5,80,0.114,100,8.33,rain,0,0,16.8,9.5,317.5,1009.8,41.1,6.1,204.8,17.8,7,60,2025-03-11T07:20:44,2025-03-11T19:25:50,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-12,94.3,76.6,81.9,106.7,76.6,85.4,74.9,81,0,0,0,rain,0,0,12.3,11.9,282.4,1009,41.4,5.9,199.5,17.3,8,30,2025-03-12T07:20:23,2025-03-12T19:25:39,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
